Gene
GTF3C4
REEP6
CABLES1
MRPL33
CMTM4
MLKL
ZNF385D
ARPIN
EFHD2
ZBTB10
ZNF215
SHOC2
MALL
RHOXF1
MEST
ELL3
FES
MAST2
GABBR1
DMAC2
CABCOCO1
PTPN11
WDR78
OR2T6
RPGRIP1L
PSG7
BDP1
MLLT10
TNIP1
ZNF207
MRGPRX2
DST
STK3
MTHFD1
SRSF12
CSF1R
BCCIP
PCDHB7
MPG
GNRH1
OAF
FUT4
TMEM139
CDH19
KRT76
AADACL3
UCMA
RXFP2
WDSUB1
MCM9
REL
RPS23
WFIKKN1
CNOT9
PPIA
ATP5MG
CD177
RAP1B
MYOT
ENKUR
ABCF2
CHRD
SUFU
MRAP
ZNF573
LDHA
PGGT1B
COX7B2
RIT1
MGAT4A
SPSB4
TCOF1
SLX4
HCST
MUCL3
NUDT2
TIMM23
WASHC5
SLC35G3
CLEC18C
TAGAP
MYO1G
CACNA1H
MPZL1
RHOT2
ABHD14A
EHMT1
ZNF551
PRAP1
ECM1
ZYX
DDX55
LRP5
PPAN
GRIN2C
FNDC4
NSUN6
BAAT
CNEP1R1
MTR
N4BP2
ATP5F1E
HIPK2
GPR176
SPPL2A
FHL1
SLC2A10
VSTM5
RANBP17
IQCK
SSNA1
SLC25A33
EIF4E
GDAP2
ARHGAP35
HNRNPCL4
TMEM59
HAS3
EGR3
RFPL4B
PRSS57
BTBD7
TNIP2
AGPAT2
NKX3-2
TSPAN17
TMSB10
PLRG1
TMCO3
GRK3
TCEANC2
ANKRD6
FAM71C
BTN3A3
HSPB6
SYNE3
DOHH
OR1L1
SATB1
SEC11A
OXNAD1
NPS
FRA10AC1
PRAMEF2
SNAI2
GGACT
KLHL23
ZNF22
UHRF1BP1
H3C2
TELO2
LYPD1
TMC4
OR14J1
FAM171B
KLF14
ACADL
CCDC160
CBX2
MCF2L2
UGT8
H3C12
KHSRP
ELOVL7
ATP11B
NECAB2
C18orf63
INO80D
VLDLR
FBXL14
MARVELD2
CAMKMT
KRT14
RIPK1
TCL1B
YDJC
RRAGA
DEGS1
NCAPD2
ECE2
TNFRSF10C
IMPAD1
LHFPL1
REP15
FOXO6
ATXN10
KLK13
DNTTIP2
WDR87
PSRC1
EYS
UBAC2
TRPV6
MICU1
CLEC4A
CIPC
C2orf81
ASB8
OR2T2
BIN1
PLPP4
CALY
STXBP1
LAGE3
CCER1
MYO3A
QARS1
MAFA
UCN2
PNKP
HECW1
IPPK
SRMS
PCDHB2
SLC17A1
EFR3A
MSMO1
TRIM42
AKAP6
FASTK
ACSF3
ZNF654
ORC6
LIMCH1
MPND
ZNF548
ATAT1
RBFOX1
TRAPPC4
RNF151
FMN2
ZNF280B
PRDM11
RTP5
PACRGL
TTI2
TMEM218
PROCR
TNRC18
KCTD15
EML3
KRT23
STK31
CHD2
MTFR1L
CXCR4
GATC
PDE12
RNF183
SLC38A5
EIF5A2
PMP22
MAF1
GAS2
SMIM22
HSPA6
COL10A1
LHX8
TFAM
MMP24OS
ANKRD35
ITGB4
SLC5A5
CBX3
MGA
HNRNPK
MAD1L1
LOC110117498-PIK3R3
EXOC2
GDPD3
TEX2
STK38
TMEM86B
PTPN12
IL15
KIAA0825
LRRC7
NOS1AP
POLR2L
ATP13A5
PRH2
ZNF277
TTLL3
MT3
PAGR1
RGPD8
MOB3A
PCDH11X
GATA6
MCM3
EID2
UBE2L3
IBTK
OR14A2
PSMD2
GCFC2
CPSF4
SYNPO2
HPX
SPIN2B
CRAT
ITGA9
MOXD1
CAVIN4
SPDYE2
KIAA1217
PRC1
FXYD6
BBS9
NPHP3
ERVV-1
ODF3B
CSRP3
GCDH
PLEKHH2
DHX57
PRR23D1
LPL
SERPINB7
FOXD4L1
PSIP1
ESRP2
HEPACAM
TMEM121
SCO2
ERI2
BET1L
ZNF610
IHH
KIAA0930
FRAT2
HSD17B4
PCBP2
ANTXRL
RPLP1
IDH3B
MTHFD2
VDAC2
OR2H2
CRYZL1
PPIB
ZNRF3
KIF5A
CNTLN
SELENOT
GALNT3
MUCL1
DIPK1B
DGUOK
KCTD12
PCDHB16
XCL1
C21orf59-TCP10L
MAN1B1
APOF
SOGA3
RTL1
HOXB8
KRTAP1-1
CCT6B
HIRA
NEBL
CXorf51B
TBC1D3K
NET1
